year,start_date,end_date,start_close,end_close,annual_return,max_drawdown_from_year_high,year_high,year_low,trading_days,source
1927,1927-12-30,1927-12-30,17.6600,17.6600,,0.000000,17.6600,17.6600,1,Yahoo Finance chart API ^GSPC
1928,1928-01-03,1928-12-31,17.7600,24.3500,0.378822,-0.102740,24.3500,16.9500,250,Yahoo Finance chart API ^GSPC
1929,1929-01-02,1929-12-31,24.8100,21.4500,-0.119096,-0.445700,31.8600,17.6600,249,Yahoo Finance chart API ^GSPC
1930,1930-01-02,1930-12-31,21.1800,15.3400,-0.284849,-0.442901,25.9200,14.4400,251,Yahoo Finance chart API ^GSPC
1931,1931-01-02,1931-12-31,15.8500,8.1200,-0.470665,-0.575124,18.1700,7.7200,252,Yahoo Finance chart API ^GSPC
1932,1932-01-04,1932-12-30,7.5600,6.9200,-0.147783,-0.510022,9.3100,4.4000,250,Yahoo Finance chart API ^GSPC
1933,1933-01-03,1933-12-29,6.8300,9.9700,0.440751,-0.294262,12.2000,5.5300,242,Yahoo Finance chart API ^GSPC
1934,1934-01-02,1934-12-31,10.1100,9.5000,-0.047141,-0.292724,11.8200,8.3600,249,Yahoo Finance chart API ^GSPC
1935,1935-01-02,1935-12-31,9.5100,13.4300,0.413684,-0.158664,13.4600,8.0600,250,Yahoo Finance chart API ^GSPC
1936,1936-01-02,1936-12-31,13.4000,17.1800,0.279226,-0.127660,17.6900,13.4000,253,Yahoo Finance chart API ^GSPC
1937,1937-01-04,1937-12-31,16.9300,10.5500,-0.385914,-0.455276,18.6700,10.1700,250,Yahoo Finance chart API ^GSPC
1938,1938-01-03,1938-12-30,10.5200,13.1400,0.245498,-0.288703,13.9100,8.5000,250,Yahoo Finance chart API ^GSPC
1939,1939-01-03,1939-12-29,13.0800,12.4600,-0.051750,-0.212396,13.2300,10.4200,249,Yahoo Finance chart API ^GSPC
1940,1940-01-02,1940-12-31,12.6300,10.5800,-0.150883,-0.296006,12.7700,8.9900,251,Yahoo Finance chart API ^GSPC
1941,1941-01-02,1941-12-31,10.4800,8.6900,-0.178639,-0.229282,10.8600,8.3700,250,Yahoo Finance chart API ^GSPC
1942,1942-01-02,1942-12-31,8.8900,9.7700,0.124281,-0.178218,9.7700,7.4700,251,Yahoo Finance chart API ^GSPC
1943,1943-01-04,1943-12-31,9.9200,11.6700,0.194473,-0.130538,12.6400,9.8900,250,Yahoo Finance chart API ^GSPC
1944,1944-01-03,1944-12-29,11.6600,13.2800,0.137961,-0.069329,13.2800,11.5600,251,Yahoo Finance chart API ^GSPC
1945,1945-01-02,1945-12-31,13.3300,17.3600,0.307229,-0.068846,17.6800,13.2100,246,Yahoo Finance chart API ^GSPC
