decade,years,compound_return,annualized_return,best_year,worst_year,positive_years,negative_years
1920s,2,0.214610,0.102093,0.378822,-0.119096,1,1
1930s,10,-0.419114,-0.052871,0.440751,-0.470665,4,6
1940s,10,0.347512,0.030275,0.307229,-0.178639,5,4
1950s,10,2.567005,0.135613,0.450222,-0.143133,8,2
1960s,10,0.537150,0.043931,0.231286,-0.130910,6,4
1970s,10,0.172497,0.016041,0.315490,-0.297181,7,3
1980s,10,2.274039,0.125922,0.272505,-0.097304,9,1
1990s,10,3.157477,0.153143,0.341107,-0.065591,8,2
2000s,10,-0.241042,-0.027204,0.263804,-0.384858,6,4
2010s,10,1.897298,0.112242,0.296012,-0.062373,7,3
2020s,7,1.300206,0.126370,0.268927,-0.194428,6,1
